Deutsch	Wissenschaftlich
Weide	Salix
Sal-Weide	Salix caprea
Purpur-Weide	Salix purpurea
Kraut-Weide	Salix herbacea
Netz-Weide	Salix reticulata
Stumpfblättrige Weide	Salix retusa
Einkeimblättrige	Monocotyledoneae
Lilienartige	Liliales
Liliengewächse	Liliaceae
Lauch	Allium
Bärlauch	Allium ursinum
Herbst-Zeitlose	Colchicum autumnale
Maiglöcklein	Convallaria majalis
Vierblättrige Einbeere	Paris quadrifolia
Salomonssiegel	Polygonatum
Vielblütiges Salomonssiegel	Polygonatum multiflorum
Echtes Salomonssiegel	Polygonatum odoratum
Gewöhnlicher Germer	Veratrum lobelianum
Amaryllisgewächse	Amaryllidaceae
Schneeglöckchen	Galanthus nivalis
Märzenglöckchen	Leucojum vernum
Osterglocke	Narcissus pseudonarcissus
Schwertliliengewächse	Iridaceae
Frühlings-Krokus	Crocus albiflorus
Gelbe Schwertlilie	Iris pseudacorus
Orchideen	Orchidaceae
Grüne Hohlzunge	Coeloglossum viride
Mücken-Nacktdrüse	Gymnadenia conopsea
Nestwurz	Neottia nidus-avis
Männertreu	Nigritella nigra
Orchis	Orchis
Stattliche Orchis	Orchis mascula
Binsengewächse	Juncaceae
Binse	Juncus
Alpen-Binse	Juncus alpinoarticulatus
Blaugrüne Binse	Juncus inflexus
Hainsimse	Luzula
Feld-Hainsimse	Luzula campestris
Luzula silvatica	Luzula silvatica
Sauergräser	Cyperaceae
Wollgras	Eriophorum
Schmalblättriges Wollgras	Eriophorum angustifolium
Rasige Haarbinse	Trichophorum caespitosum
Segge	Carex
Davalls Segge	Carex davalliana
Krumm-Segge	Carex curvula
Gedrängtährige Segge	Carex spicata
Igelfrüchtige Segge	Carex echinata
Geschwärzte Segge	Carex atrata
Braune Segge	Carex nigra
Steife Segge	Carex elata
Behaarte Segge	Carex hirta
Schlaffe Segge	Carex flacca
Gelbe Segge	Carex flava
Immergrüne Segge	Carex sempervirens
Wald-Segge	Carex sylvatica
Süssgräser	Poaceae
Gewöhnliches Ruchgras	Anthoxantum odoratum
Gewöhnliches Zittergras	Briza media
Gewöhnliches Knäuelgras	Dactylis glomerata
Borstgras	Nardus stricta
Schilf	Phragmites australis
Sesleria caerulea	Sesleria caerulea
Kriechende Quecke	Agropyron repens
Wiesen-Fuchsschwanz	Alopecurus pratensis
Cynosurus cristatus	Cynosurus cristatus
Mäuse-Gerste	Hordeum murinum
Lolch	Lolium
Englisches Raygras	Lolium perenne
Italienisches Raygras	Lolium multiflorum
Perlgras	Melica
Nickendes Perlgras	Melica nutans
Wiesen-Lieschgras	Phleum pratense
Federgras	Stipa pennata
Arrhenatherum elatius	Arrhenatherum elatius
Trespe	Bromus
Aufrechte Trespe	Bromus erectus
Weiche Trespe	Bromus hordeaceus
Taube Trespe	Bromus sterilis
Dach-Trespe	Bromus tectorum
Festuca	Festuca
Festuca pratensis	Festuca pratensis
Festuca rubra	Festuca rubra
Festuca vallesiaca	Festuca vallesiaca
Flaumhafer	Helictotrichon pubescens
Wolliges Honiggras	Holcus lanatus
Rispengras	Poa
Alpen-Rispengras	Poa alpina
Einjähriges Rispengras	Poa annua
Knolliges Rispengras	Poa bulbosa
Wiesen-Rispengras	Poa pratensis
Gewöhnliches Rispengras	Poa trivialis
Goldhafer	Trisetum flavescens
Aronstabgewächse	Araceae
Aronstab	Arum maculatum
Lebermoose	Marchantiatae
Laubmoose	Bryatae
Landkartenflechte	Rhizocarpon geographicum
Bartflechte	Usnea scabrata
